Date,Price,Open,High,Low,Volume,Chg%
18-Aug-21,74.29,74.338,74.347,74.227,1.92K,-0.11%
17-Aug-21,74.37,74.145,74.394,74.133,2.25K,0.28%
16-Aug-21,74.16,74.224,74.297,74.117,0.85K,-0.11%
13-Aug-21,74.239,74.266,74.326,74.24,3.14K,-0.10%
12-Aug-21,74.31,74.1,74.339,74.1,4.21K,0.08%
11-Aug-21,74.253,74.425,74.495,74.201,4.00K,-0.24%
10-Aug-21,74.43,74.453,74.507,74.334,4.42K,-0.07%
9-Aug-21,74.48,74.262,74.502,74.197,3.36K,0.32%
6-Aug-21,74.24,74.082,74.247,74.045,2.41K,0.19%
5-Aug-21,74.098,74.175,74.29,74.086,2.41K,-0.07%
4-Aug-21,74.149,74.218,74.261,74.081,4.22K,-0.13%
3-Aug-21,74.249,74.335,74.382,74.203,4.25K,-0.14%
2-Aug-21,74.354,74.368,74.434,74.316,3.96K,0.02%
30-Jul-21,74.337,74.252,74.45,74.245,4.27K,0.12%
29-Jul-21,74.245,74.382,74.431,74.218,4.20K,-0.33%
28-Jul-21,74.49,74.546,74.549,74.309,4.09K,-0.01%
27-Jul-21,74.498,74.275,74.545,74.275,4.57K,0.23%
26-Jul-21,74.33,74.462,74.537,74.33,4.14K,-0.13%
23-Jul-21,74.425,74.467,74.577,74.374,2.41K,-0.03%
22-Jul-21,74.45,74.438,74.53,74.304,4.59K,-0.05%
21-Jul-21,74.486,74.527,74.64,74.493,1.00K,-0.06%
20-Jul-21,74.53,74.967,74.982,74.535,4.71K,-0.43%
19-Jul-21,74.851,74.702,75.031,74.691,4.36K,0.33%
16-Jul-21,74.606,74.549,74.668,74.498,4.37K,0.09%
15-Jul-21,74.54,74.454,74.575,74.434,2.27K,0.11%
14-Jul-21,74.46,74.672,74.675,74.459,4.35K,-0.17%
13-Jul-21,74.59,74.537,74.68,74.398,4.29K,0.08%
12-Jul-21,74.53,74.552,74.673,74.402,4.52K,0.06%
9-Jul-21,74.485,74.772,74.787,74.47,4.47K,-0.33%
8-Jul-21,74.73,74.759,74.87,74.652,4.73K,-0.08%
7-Jul-21,74.79,74.771,74.815,74.567,5.29K,0.28%
6-Jul-21,74.582,74.328,74.625,74.236,4.97K,0.40%
5-Jul-21,74.288,74.553,74.57,74.262,4.33K,-0.30%
2-Jul-21,74.512,74.561,74.885,74.504,5.00K,-0.06%
1-Jul-21,74.56,74.374,74.64,74.332,4.31K,0.27%
30-Jun-21,74.36,74.215,74.471,74.205,2.16K,0.09%
29-Jun-21,74.29,74.293,74.348,74.2,2.05K,0.03%
28-Jun-21,74.27,74.183,74.317,74.161,1.87K,0.08%
25-Jun-21,74.21,74.188,74.256,74.114,3.81K,0.04%
24-Jun-21,74.18,74.223,74.274,74.111,4.46K,0.05%
23-Jun-21,74.14,74.345,74.398,74.054,4.45K,-0.26%
22-Jun-21,74.33,74.112,74.415,74.043,5.24K,0.27%
21-Jun-21,74.13,74.094,74.338,74.053,5.28K,0.04%
18-Jun-21,74.1,74.19,74.283,73.804,2.62K,-0.08%
17-Jun-21,74.162,73.595,74.247,73.565,2.45K,1.22%
16-Jun-21,73.27,73.355,73.394,73.26,2.05K,-0.11%
15-Jun-21,73.35,73.228,73.378,73.151,1.99K,0.23%
14-Jun-21,73.18,73.282,73.307,73.099,2.09K,-0.08%
11-Jun-21,73.24,73.027,73.265,72.889,2.01K,0.23%
10-Jun-21,73.07,72.965,73.134,72.932,2.03K,0.12%
9-Jun-21,72.98,72.945,73.02,72.881,2.18K,0.04%
8-Jun-21,72.95,72.796,72.978,72.763,2.14K,0.23%
7-Jun-21,72.786,72.92,72.939,72.741,2.31K,-0.10%
