DATE,INDEPUINDXM
2003-01-01,49.28184
2003-02-01,69.26014
2003-03-01,113.41907
2003-04-01,80.29345
2003-05-01,62.98458
2003-06-01,57.71823
2003-07-01,63.98774
2003-08-01,59.84917
2003-09-01,53.42519
2003-10-01,64.71464
2003-11-01,40.53714
2003-12-01,42.95921
2004-01-01,77.31049
2004-02-01,82.81784
2004-03-01,24.93983
2004-04-01,73.95041
2004-05-01,229.63283
2004-06-01,48.42130
2004-07-01,47.16453
2004-08-01,83.19060
2004-09-01,41.46087
2004-10-01,86.20779
2004-11-01,50.96368
2004-12-01,50.82652
2005-01-01,52.30633
2005-02-01,60.79929
2005-03-01,38.82535
2005-04-01,90.29830
2005-05-01,60.12207
2005-06-01,63.02027
2005-07-01,66.42701
2005-08-01,30.69375
2005-09-01,31.90440
2005-10-01,51.63887
2005-11-01,33.00722
2005-12-01,42.34654
2006-01-01,39.99015
2006-02-01,31.37343
2006-03-01,32.26818
2006-04-01,37.32507
2006-05-01,39.59401
2006-06-01,53.54390
2006-07-01,72.42788
2006-08-01,59.80985
2006-09-01,41.71182
2006-10-01,37.20120
2006-11-01,85.04990
2006-12-01,63.49551
2007-01-01,45.91792
2007-02-01,71.26276
2007-03-01,50.21209
2007-04-01,72.65433
2007-05-01,35.18941
2007-06-01,27.73946
2007-07-01,35.04797
2007-08-01,47.82680
2007-09-01,58.06873
2007-10-01,72.57214
2007-11-01,56.17608
2007-12-01,61.80948
2008-01-01,126.77858
2008-02-01,89.35044
2008-03-01,175.19228
2008-04-01,124.77666
2008-05-01,94.38441
2008-06-01,162.87372
2008-07-01,193.61182
2008-08-01,92.26747
2008-09-01,124.11170
2008-10-01,235.18559
2008-11-01,146.62915
2008-12-01,136.16011
2009-01-01,105.81544
2009-02-01,135.76495
2009-03-01,155.97054
2009-04-01,131.59106
2009-05-01,114.31608
2009-06-01,98.40061
2009-07-01,141.06749
2009-08-01,103.87956
2009-09-01,87.38877
2009-10-01,85.99908
2009-11-01,68.55942
2009-12-01,78.48650
2010-01-01,77.45385
2010-02-01,129.56900
2010-03-01,96.48685
2010-04-01,94.16805
2010-05-01,113.86794
2010-06-01,151.37906
2010-07-01,100.37033
2010-08-01,89.10888
2010-09-01,99.39948
2010-10-01,88.99954
2010-11-01,107.06229
2010-12-01,157.43474
2011-01-01,124.54881
2011-02-01,144.15167
2011-03-01,96.31921
2011-04-01,71.03994
2011-05-01,102.97065
2011-06-01,105.51096
2011-07-01,155.34045
2011-08-01,272.87445
2011-09-01,186.78738
2011-10-01,222.56592
2011-11-01,224.14034
2011-12-01,249.33888
2012-01-01,183.11711
2012-02-01,180.22923
2012-03-01,239.41928
2012-04-01,173.36813
2012-05-01,246.41078
2012-06-01,283.68909
2012-07-01,142.36514
2012-08-01,166.00540
2012-09-01,152.36617
2012-10-01,163.22943
2012-11-01,141.81026
2012-12-01,153.56535
2013-01-01,133.14900
2013-02-01,138.35072
2013-03-01,155.18349
2013-04-01,148.75081
2013-05-01,122.28458
2013-06-01,129.93832
2013-07-01,130.02573
2013-08-01,188.82957
2013-09-01,160.81842
2013-10-01,107.31889
2013-11-01,79.37089
2013-12-01,103.19482
2014-01-01,95.17994
2014-02-01,78.70988
2014-03-01,66.12667
2014-04-01,78.73886
2014-05-01,88.94390
2014-06-01,72.41730
2014-07-01,104.40688
2014-08-01,133.45058
2014-09-01,115.32200
2014-10-01,91.51669
2014-11-01,119.68307
2014-12-01,115.65457
2015-01-01,120.23884
2015-02-01,98.44914
2015-03-01,53.43037
2015-04-01,52.30806
2015-05-01,63.05068
2015-06-01,79.26369
2015-07-01,50.59240
2015-08-01,77.56551
2015-09-01,85.25516
2015-10-01,45.60044
2015-11-01,47.64637
2015-12-01,77.32127
2016-01-01,70.27962
2016-02-01,99.21339
2016-03-01,92.20086
2016-04-01,47.38801
2016-05-01,53.01307
2016-06-01,144.26610
2016-07-01,78.06612
2016-08-01,41.01422
2016-09-01,32.88369
2016-10-01,38.68679
2016-11-01,72.80565
2016-12-01,117.88624
2017-01-01,84.12656
2017-02-01,137.40044
2017-03-01,65.67519
2017-04-01,81.33384
2017-05-01,39.26337
2017-06-01,59.06989
2017-07-01,62.02988
2017-08-01,37.68947
2017-09-01,78.03065
2017-10-01,83.39475
2017-11-01,62.91198
2017-12-01,81.98847
2018-01-01,39.42574
2018-02-01,79.90938
2018-03-01,42.03543
2018-04-01,34.92320
2018-05-01,37.55676
2018-06-01,47.16575
2018-07-01,63.24723
2018-08-01,77.71507
2018-09-01,63.50946
2018-10-01,63.91605
2018-11-01,68.80318
2018-12-01,66.13168
2019-01-01,64.73835
2019-02-01,50.11977
2019-03-01,40.58510
2019-04-01,60.45342
2019-05-01,83.64256
2019-06-01,72.85344
2019-07-01,70.45084
2019-08-01,81.67478
2019-09-01,105.54433
2019-10-01,90.66387
2019-11-01,50.36468
2019-12-01,106.03554
2020-01-01,48.13543
2020-02-01,92.64915
2020-03-01,110.09843
2020-04-01,160.82161
2020-05-01,167.75021
2020-06-01,75.14697
2020-07-01,107.75376
2020-08-01,115.05743
2020-09-01,82.27406
2020-10-01,95.48763
2020-11-01,69.49672
2020-12-01,69.87849
2021-01-01,83.66126
2021-02-01,51.77739
2021-03-01,40.93234
2021-04-01,78.98832
2021-05-01,73.24380
2021-06-01,58.32846
2021-07-01,77.62581
