Date,Price,Open,High,Low,Volume,Chg%
13-Aug-21,"16,529.10","16,385.70","16,543.60","16,376.30",321.87M,1.01%
12-Aug-21,"16,364.40","16,303.65","16,375.50","16,286.90",280.18M,0.50%
11-Aug-21,"16,282.25","16,327.30","16,338.75","16,162.55",277.90M,0.01%
10-Aug-21,"16,280.10","16,274.80","16,359.25","16,202.25",287.99M,0.13%
9-Aug-21,"16,258.25","16,281.35","16,320.75","16,179.05",240.45M,0.12%
6-Aug-21,"16,238.20","16,304.40","16,336.75","16,223.30",320.09M,-0.35%
5-Aug-21,"16,294.60","16,288.95","16,349.45","16,210.30",418.17M,0.22%
4-Aug-21,"16,258.80","16,195.25","16,290.20","16,176.15",427.34M,0.79%
3-Aug-21,"16,130.75","15,951.55","16,146.90","15,914.35",341.29M,1.55%
2-Aug-21,"15,885.15","15,874.90","15,892.90","15,834.65",244.85M,0.77%
30-Jul-21,"15,763.05","15,800.60","15,862.80","15,744.85",400.02M,-0.10%
29-Jul-21,"15,778.45","15,762.70","15,817.35","15,737.80",401.58M,0.44%
28-Jul-21,"15,709.40","15,761.55","15,767.50","15,513.45",318.60M,-0.24%
27-Jul-21,"15,746.45","15,860.50","15,881.55","15,701.00",311.01M,-0.49%
26-Jul-21,"15,824.45","15,849.30","15,893.35","15,797.00",267.08M,-0.20%
23-Jul-21,"15,856.05","15,856.80","15,899.80","15,768.40",294.10M,0.20%
22-Jul-21,"15,824.05","15,736.60","15,834.80","15,726.40",265.25M,1.23%
20-Jul-21,"15,632.10","15,703.95","15,728.45","15,578.55",274.28M,-0.76%
19-Jul-21,"15,752.40","15,754.50","15,836.90","15,707.50",242.13M,-1.07%
16-Jul-21,"15,923.40","15,958.35","15,962.25","15,882.60",276.30M,-0.01%
15-Jul-21,"15,924.20","15,872.15","15,952.35","15,855.00",284.85M,0.44%
14-Jul-21,"15,853.95","15,808.70","15,877.35","15,764.20",239.92M,0.26%
13-Jul-21,"15,812.35","15,794.00","15,820.80","15,744.60",246.68M,0.76%
12-Jul-21,"15,692.60","15,766.80","15,789.20","15,644.75",216.27M,0.02%
9-Jul-21,"15,689.80","15,688.25","15,730.85","15,632.75",243.25M,-0.24%
8-Jul-21,"15,727.90","15,855.40","15,885.75","15,682.90",307.93M,-0.96%
7-Jul-21,"15,879.65","15,819.60","15,893.55","15,779.70",329.31M,0.39%
6-Jul-21,"15,818.25","15,813.75","15,914.20","15,801.00",391.41M,-0.10%
5-Jul-21,"15,834.35","15,793.40","15,845.95","15,762.05",207.03M,0.71%
2-Jul-21,"15,722.20","15,705.85","15,738.35","15,635.95",254.81M,0.27%
1-Jul-21,"15,680.00","15,755.05","15,755.55","15,667.05",224.92M,-0.26%
30-Jun-21,"15,721.50","15,776.90","15,839.10","15,708.75",262.39M,-0.17%
29-Jun-21,"15,748.45","15,807.50","15,835.90","15,724.05",360.33M,-0.42%
28-Jun-21,"15,814.70","15,915.35","15,915.65","15,792.15",255.10M,-0.29%
25-Jun-21,"15,860.35","15,839.35","15,870.80","15,772.30",314.61M,0.44%
24-Jun-21,"15,790.45","15,737.30","15,821.40","15,702.70",316.66M,0.66%
23-Jun-21,"15,686.95","15,862.80","15,862.95","15,673.95",287.54M,-0.54%
22-Jun-21,"15,772.75","15,840.50","15,895.75","15,752.10",322.24M,0.17%
21-Jun-21,"15,746.50","15,525.85","15,765.15","15,505.65",351.53M,0.40%
18-Jun-21,"15,683.35","15,756.50","15,761.50","15,450.90",640.82M,-0.05%
17-Jun-21,"15,691.40","15,648.30","15,769.35","15,616.75",357.65M,-0.48%
16-Jun-21,"15,767.55","15,847.50","15,880.85","15,742.60",340.19M,-0.64%
15-Jun-21,"15,869.25","15,866.95","15,901.60","15,842.40",323.26M,0.36%
14-Jun-21,"15,811.85","15,791.40","15,823.05","15,606.50",392.86M,0.08%
11-Jun-21,"15,799.35","15,796.45","15,835.55","15,749.80",363.01M,0.39%
10-Jun-21,"15,737.75","15,692.10","15,751.25","15,648.50",298.30M,0.65%
9-Jun-21,"15,635.35","15,766.30","15,800.45","15,566.90",457.86M,-0.67%
8-Jun-21,"15,740.10","15,773.90","15,778.80","15,680.00",378.16M,-0.07%
7-Jun-21,"15,751.65","15,725.10","15,773.45","15,678.10",393.97M,0.52%
4-Jun-21,"15,670.25","15,712.50","15,733.60","15,622.35",414.16M,-0.13%
3-Jun-21,"15,690.35","15,655.55","15,705.10","15,611.00",410.24M,0.73%
2-Jun-21,"15,576.20","15,520.35","15,597.45","15,459.85",428.64M,0.01%
1-Jun-21,"15,574.85","15,629.65","15,660.75","15,528.30",409.56M,-0.05%
31-May-21,"15,582.80","15,437.75","15,606.35","15,374.00",436.00M,0.95%
28-May-21,"15,435.65","15,421.20","15,469.65","15,394.75",455.58M,0.64%
27-May-21,"15,337.85","15,323.95","15,384.55","15,272.50",682.37M,0.24%
26-May-21,"15,301.45","15,257.05","15,319.90","15,194.95",377.68M,0.61%
25-May-21,"15,208.45","15,291.75","15,293.85","15,163.40",417.32M,0.07%
24-May-21,"15,197.70","15,211.35","15,256.25","15,145.45",566.72M,0.15%
21-May-21,"15,175.30","14,987.80","15,190.00","14,985.85",557.73M,1.81%
20-May-21,"14,906.05","15,042.60","15,069.80","14,884.90",467.46M,-0.83%
19-May-21,"15,030.15","15,058.60","15,133.40","15,008.85",563.29M,-0.52%
18-May-21,"15,108.10","15,067.20","15,137.25","15,043.70",571.92M,1.24%
17-May-21,"14,923.15","14,756.25","14,938.00","14,725.35",534.52M,1.67%
14-May-21,"14,677.80","14,749.40","14,749.65","14,591.90",602.74M,-0.13%
12-May-21,"14,696.50","14,823.55","14,824.05","14,649.70",620.32M,-1.04%
11-May-21,"14,850.75","14,789.70","14,900.00","14,771.40",616.20M,-0.61%
10-May-21,"14,942.35","14,928.25","14,966.90","14,892.50",510.60M,0.80%
7-May-21,"14,823.15","14,816.85","14,863.05","14,765.50",483.68M,0.67%
6-May-21,"14,724.80","14,668.35","14,743.90","14,611.50",445.28M,0.73%
5-May-21,"14,617.85","14,604.15","14,637.90","14,506.60",437.26M,0.84%
4-May-21,"14,496.50","14,687.25","14,723.40","14,461.50",479.66M,-0.94%
3-May-21,"14,634.15","14,481.05","14,673.85","14,416.25",443.41M,0.02%
