date,PD,,
2-Jan-06,262,,
3-Jan-06,262,,
4-Jan-06,272,,
5-Jan-06,272,,
6-Jan-06,262,,
9-Jan-06,274,,
10-Jan-06,278,,
11-Jan-06,274,,
12-Jan-06,274,,
13-Jan-06,273,,
16-Jan-06,285,,
17-Jan-06,286,,
18-Jan-06,275,,
19-Jan-06,275,,
20-Jan-06,277,,
23-Jan-06,277,,
24-Jan-06,278,,
25-Jan-06,275,,
26-Jan-06,280,,
27-Jan-06,276,,
30-Jan-06,277,,
31-Jan-06,282,,
1-Feb-06,293,,
2-Feb-06,295,,
3-Feb-06,310,,
6-Feb-06,320,,
7-Feb-06,309,,
8-Feb-06,287,,
9-Feb-06,295,,
10-Feb-06,297,,
13-Feb-06,277,,
14-Feb-06,274,,
15-Feb-06,287,,
16-Feb-06,278,,
17-Feb-06,280,,
20-Feb-06,292,,
21-Feb-06,291,,
22-Feb-06,293,,
23-Feb-06,287,,
24-Feb-06,286,,
27-Feb-06,290,,
28-Feb-06,285,,
1-Mar-06,289,,
2-Mar-06,296,,
3-Mar-06,300,,
6-Mar-06,302,,
7-Mar-06,296,,
8-Mar-06,289,,
9-Mar-06,282,,
10-Mar-06,289,,
13-Mar-06,290,,
14-Mar-06,300,,
15-Mar-06,307,,
16-Mar-06,314,,
17-Mar-06,315,,
20-Mar-06,319,,
21-Mar-06,316,,
22-Mar-06,322,,
23-Mar-06,321,,
24-Mar-06,320,,
27-Mar-06,334,,
28-Mar-06,345,,
29-Mar-06,337,,
30-Mar-06,343,,
31-Mar-06,348,,
3-Apr-06,338,,
4-Apr-06,337,,
5-Apr-06,336,,
6-Apr-06,344,,
7-Apr-06,354,,
10-Apr-06,355,,
11-Apr-06,360,,
12-Apr-06,343,,
13-Apr-06,341,,
18-Apr-06,360,,
19-Apr-06,364,,
20-Apr-06,374,,
21-Apr-06,347,,
24-Apr-06,363,,
25-Apr-06,355,,
26-Apr-06,367,,
27-Apr-06,367,,
28-Apr-06,363,,
2-May-06,380,,
3-May-06,388,,
4-May-06,378,,
5-May-06,383,,
8-May-06,381,,
9-May-06,378,,
10-May-06,398,,
11-May-06,395,,
12-May-06,398,405,
15-May-06,397,,
16-May-06,366,,
17-May-06,382,,
18-May-06,376,,
19-May-06,373,,
22-May-06,345,,
23-May-06,343,,
24-May-06,365,,
25-May-06,350,,
26-May-06,354,,
29-May-06,350,,
30-May-06,355,,
31-May-06,358,,
1-Jun-06,345,,
2-Jun-06,342,,
5-Jun-06,358,,
6-Jun-06,359,,
7-Jun-06,346,,
8-Jun-06,333,,
9-Jun-06,313,,
12-Jun-06,316,,
13-Jun-06,307,,
14-Jun-06,275,,
15-Jun-06,292,,
16-Jun-06,305,,
19-Jun-06,303,,
20-Jun-06,296,,
21-Jun-06,308,,
22-Jun-06,320,,
23-Jun-06,305,,
26-Jun-06,309,,
27-Jun-06,320,,
28-Jun-06,313,,
29-Jun-06,307,,
30-Jun-06,320,,
3-Jul-06,326,,
4-Jul-06,327,,
5-Jul-06,330,,
6-Jul-06,326,,
7-Jul-06,329,,
10-Jul-06,323,,
11-Jul-06,323,,
12-Jul-06,330,,
13-Jul-06,328,,
14-Jul-06,331,,
17-Jul-06,333,,
18-Jul-06,319,,
19-Jul-06,311,,
20-Jul-06,316,,
21-Jul-06,310,,
24-Jul-06,309,,
25-Jul-06,315,,
26-Jul-06,315,,
27-Jul-06,318,,
28-Jul-06,318,,
31-Jul-06,317,,
1-Aug-06,316,,
2-Aug-06,322,,
3-Aug-06,327,,
4-Aug-06,324,,
7-Aug-06,328,,
8-Aug-06,324,,
9-Aug-06,320,,
10-Aug-06,327,,
11-Aug-06,322,,
14-Aug-06,320,,
15-Aug-06,319,,
16-Aug-06,324,,
17-Aug-06,338,,
18-Aug-06,333,,
21-Aug-06,338,,
22-Aug-06,346,,
23-Aug-06,340,,
24-Aug-06,347,,
25-Aug-06,345,,
28-Aug-06,345,,
29-Aug-06,342,,
30-Aug-06,340,,
31-Aug-06,342,,
1-Sep-06,346,,
4-Sep-06,347,,
5-Sep-06,347,,
6-Sep-06,351,,
7-Sep-06,353,,
8-Sep-06,345,,
11-Sep-06,321,,
12-Sep-06,322,,
13-Sep-06,310,,
14-Sep-06,317,,
15-Sep-06,314,,
18-Sep-06,313,,
19-Sep-06,316,,
20-Sep-06,308,,
21-Sep-06,308,,
22-Sep-06,313,,
25-Sep-06,319,,
26-Sep-06,319,,
27-Sep-06,320,,
28-Sep-06,323,,
29-Sep-06,323,,
2-Oct-06,322,,
3-Oct-06,314,,
4-Oct-06,298,,
5-Oct-06,299,,
6-Oct-06,301,,
9-Oct-06,304,,
10-Oct-06,308,,
11-Oct-06,301,,
12-Oct-06,308,,
13-Oct-06,309,,
16-Oct-06,320,,
17-Oct-06,326,,
18-Oct-06,320,,
19-Oct-06,331,,
20-Oct-06,334,,
23-Oct-06,326,,
24-Oct-06,318,,
25-Oct-06,322,,
26-Oct-06,324,,
27-Oct-06,324,,
30-Oct-06,325,,
31-Oct-06,325,,
1-Nov-06,324,,
2-Nov-06,326,,
3-Nov-06,325,,
6-Nov-06,340,,
7-Nov-06,332,,
8-Nov-06,334,,
9-Nov-06,328,,
10-Nov-06,338,,
13-Nov-06,333,,
