Date,Price,Open,High,Low,Volume,Chg%
13-Aug-21,"4,468.00","4,464.84","4,468.37","4,460.82",0,0.16%
12-Aug-21,"4,460.84","4,446.08","4,461.77","4,435.96",0,0.30%
11-Aug-21,"4,447.70","4,442.18","4,449.44","4,436.42",0,0.25%
10-Aug-21,"4,436.75","4,435.79","4,445.21","4,430.03",0,0.10%
9-Aug-21,"4,432.35","4,437.77","4,439.39","4,424.74",0,-0.09%
6-Aug-21,"4,436.52","4,429.07","4,440.82","4,429.07",0,0.17%
5-Aug-21,"4,429.10","4,408.86","4,429.76","4,408.86",0,0.60%
4-Aug-21,"4,402.68","4,415.95","4,416.17","4,400.23",0,-0.46%
3-Aug-21,"4,423.15","4,392.74","4,423.79","4,373.00",0,0.82%
2-Aug-21,"4,387.11","4,406.86","4,422.18","4,384.81",0,-0.19%
30-Jul-21,"4,395.26","4,395.12","4,412.25","4,389.65",0,-0.54%
29-Jul-21,"4,419.15","4,403.59","4,429.97","4,403.59",0,0.42%
28-Jul-21,"4,400.65","4,402.95","4,415.47","4,387.01",0,-0.02%
27-Jul-21,"4,401.46","4,416.38","4,416.38","4,372.51",0,-0.47%
26-Jul-21,"4,422.23","4,409.58","4,422.73","4,405.45",0,0.24%
23-Jul-21,"4,411.80","4,381.20","4,415.18","4,381.20",0,1.01%
22-Jul-21,"4,367.48","4,361.27","4,369.31","4,350.06",0,0.20%
21-Jul-21,"4,358.69","4,331.13","4,359.70","4,331.13",0,0.82%
20-Jul-21,"4,323.21","4,265.11","4,336.84","4,262.05",0,1.52%
19-Jul-21,"4,258.63","4,296.40","4,296.40","4,233.13",0,-1.58%
16-Jul-21,"4,327.16","4,367.43","4,375.09","4,322.53",0,-0.75%
15-Jul-21,"4,360.03","4,369.02","4,369.02","4,340.70",0,-0.33%
14-Jul-21,"4,374.30","4,380.11","4,393.68","4,362.36",0,0.12%
13-Jul-21,"4,369.21","4,381.07","4,392.37","4,366.92",0,-0.35%
12-Jul-21,"4,384.63","4,372.41","4,386.68","4,364.03",0,0.35%
9-Jul-21,"4,369.55","4,329.38","4,371.60","4,329.38",0,1.13%
8-Jul-21,"4,320.82","4,321.07","4,330.88","4,289.37",0,-0.86%
7-Jul-21,"4,358.13","4,351.01","4,361.88","4,329.79",0,0.34%
6-Jul-21,"4,343.54","4,356.46","4,356.46","4,314.37",0,-0.20%
2-Jul-21,"4,352.34","4,326.60","4,355.43","4,326.60",0,0.75%
