Year,1 to 3 yrs.,Over 3 yrs. & upto 5 yrs.,Above 5 yrs.
1975-76,8,9,10
1976-77,8,9,10
1977-78,6,8,9
1978-79,6,7.5,9
1979-80,7,8.5,10
1980-81,7.50-8.50,10,10
1981-82,8.00-9.00,10,10
1982-83,8.00-9.00,10,11
1983-84,8.00-9.00,10,11
1984-85,8.00-9.00,10,11
1985-86,8.50-9.00,10,11
1986-87,8.50-9.00,10,11
1987-88,9.00-10.00,10,10
1988-89,9.00-10.00,10,10
1989-90,9.00-10.00,10,10
1990-91,9.00-10.00,11,11
1991-92,12,13,13
1992-93,11,11,11
1993-94,10,10,10
1994-95,11,11,11
1995-96,12,13,13
1996-97,11.00-12.00,12.00-13.00,12.50-13.00
1997-98,10.50-11.00,11.50-12.00,11.50-12.00
1998-99,9.00-11.00,10.50-11.50,10.50-11.50
1999-00,8.50-9.50,10.00-10.50,10.00-10.50
2000-01,8.50-9.50,9.50-10.00,9.50-10.00
2001-02,7.50-8.50,8.00-8.50,8.00-8.50
2002-03,4.25-6.00,5.50-6.25,5.50-6.25
2003-04,4.00-5.25,5.25-5.50,5.25-5.50
2004-05,5.25-5.50,5.75-6.25,5.75-6.25
2005-06,6.00-6.50,6.25-7.00,6.25-7.00
2006-07,7.50-9.00,7.75-9.00,7.75-9.00
2007-08,8.25-8.75,7.50-9.00,7.50-9.00
2008-09,8.00-8.75,7.75-8.50,7.75-8.50
2009-10,6.00-7.00,6.50-7.50,6.50-7.50
2010-11,6.75-7.25,7.00-7.25,7.00-7.75
2011-12,9.00-9.25,9.00-9.25,8.50-9.25
2012-13,8.75-9.00,8.75-9.00,8.50-9.00
2013-14,8.75-9.25,8.75-9.10,8.50-9.10
2014-15,8.50-8.75,8.50-8.75,8.25-8.50
2015-16,7.25-7.50,7.00-7.50,7.00-7.30
2016-17,6.75-7.00,6.50-6.90,6.50-6.75
2017-18,6.40-6.75,6.25-6.70,6.25-6.75
2018-19,6.25-7.25,6.25-7.25,6.25-7.25
2019-20,5.00-6.20,5.70-6.40,5.70-6.40
2020-21,5.00-5.35,5.25-5.35,5.25-5.50
